elotag,csaladinev,keresztnev,kersztnev2,full name,szuletesi ev,szuletes hely,szuletesi orszag,allampolgarsag,szuletesi nev,edesanyja neve,orszag,kozterulet neve,tipusa,telepules,iranyitoszam,teljes_cim,email,telfonszamotthoni,telfonszammobil,telfonszamfax,okmanyszam,okmanytipus,ervenyessegiido
,Vida,Addy,, Vida Addy ,1974-11-28,Szeged,Hungary,HU,Vida Addy ,Elise Ishaki,Hungary,Királyfürdő u. 4,nem meghatározott,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,74-585-2939,lakcimkartya,2022-02-19
,Guy,Shewry,, Guy Shewry ,1965-03-26,Esztergom,Hungary,HU,Guy Shewry ,Karola Pimley,Hungary,Királyfürdő u. 4,nem meghatározott,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,81-988-3078,jogositvany,2020-04-11
,Bern,Mackiewicz,, Bern Mackiewicz ,1960-12-20,Esztergom,Hungary,HU,Bern Mackiewicz ,Randy Hallworth,Hungary,Királyfürdő u. 4,nem meghatározott,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,54-295-0920,jogositvany,2022-03-25
dr.,Vonnie,Strafford,Hollebon,dr. Vonnie Strafford Hollebon,1980-02-22,Esztergom,Hungary,HU,Vonnie Strafford Hollebon,Gracie Della Scala,Hungary,Királyfürdő u. 4,állandó lakcím,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,81-796-2494,lakcimkartya,2021-06-23
,Millicent,Mungane,, Millicent Mungane ,1972-07-12,Budapest,Hungary,HU,Millicent Mungane ,Amberly Brackstone,Hungary,Királyfürdő u. 4,postai cím,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,97-078-7994,lakcimkartya,2021-02-04
,Fergus,Gallier,, Fergus Gallier ,1965-12-30,Esztergom,Hungary,HU,Fergus Gallier ,Celestina Bursnoll,Hungary,Királyfürdő u. 4,állandó lakcím,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,57-671-5939,adoazonosito,2019-10-06
,Shannah,Kegg,, Shannah Kegg ,1988-09-05,Esztergom,Hungary,HU,Shannah Kegg ,Berti Normanville,Hungary,Királyfürdő u. 4,nem meghatározott,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,13-787-0676,lakcimkartya,2021-04-09
,Netti,Booker,, Netti Booker ,1981-06-05,Szeged,Hungary,HU,Netti Booker ,Alecia O'Lennane,Hungary,Királyfürdő u. 4,tartózkodási hely,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,60-842-0841,lakcimkartya,2021-12-04
,Jeramie,Wye,, Jeramie Wye ,1961-10-13,Szeged,Hungary,HU,Jeramie Wye ,Breena Tibbetts,Hungary,Királyfürdő u. 4,postai cím,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,33-791-7594,utlevel,2022-06-01
,Emyle,Rabidge,, Emyle Rabidge ,1982-05-05,Budapest,Hungary,HU,Emyle Rabidge ,Agata Bennell,Hungary,Királyfürdő u. 4,tartózkodási hely,Budapest,1027,Budapest Királyfürdő u. 4 1027,bbtesting@blackbelt.hu,361123456,361123456,361123456,41-089-7486,lakcimkartya,2022-05-14
